成交日期,房产名称与位置,价格(HKD),面积(呎),单价,中介公司
2025-04-01,天铸 2期 3座 中层 C室,"2,700万","1,142呎","@$23,643",中原集团
2025-04-01,御皇庭 3座 低层 H室,360万,374呎,"@$9,626",中原集团
2025-04-01,宇晴轩 1期 5座 低层 G室,665万,447呎,"@$14,877",中原集团
2025-04-01,花都广场 9座 中层 B室,518万,526呎,"@$9,848",中原集团
2025-04-01,青泰苑 俊泰阁 (F座) 低层 9室,566万,645呎,"@$8,775",中原集团
2025-04-01,屯门市广场 3期 8座 高层 H室,355万,363呎,"@$9,780",中原集团
2025-04-01,沙田中心 海宁大厦 (B座) 中层 D室,478万,378呎,"@$12,646",中原集团
2025-04-01,名城 1期 1座 低层 SC室,"1,528万",959呎,"@$15,933",中原集团
2025-04-01,美城苑 贵城阁 (A座) 高层 11室,372万,438呎,"@$8,493",中原集团
2025-04-01,裕泰苑 A座 (裕玥阁) 高层 3室,168万,278呎,"@$6,043",中原集团
2025-04-01,日出康城 3期A 致蓝天 珀峰 (3座) 中层 RC室,868万,748呎,"@$11,604",中原集团
2025-04-01,汇玺 3期 汇玺ll 3B座 低层 J室,650万,352呎,"@$18,466",中原集团
2025-04-01,盈晖台 3座 高层 H室,628万,438呎,"@$14,338",中原集团
2025-04-01,雅利德桦台 低层 E室,"1,128万",906呎,"@$12,450",中原集团
2025-04-01,御龙山 2座 中层 B室,"1,600万",996呎,"@$16,064",中原集团
2025-04-01,栢慧豪园 1期 5座 低层 H室,443万,494呎,"@$8,968",中原集团
2025-04-01,嘉湖山庄 5期 丽湖居 4座 低层 G室,399万,547呎,"@$7,294",中原集团
2025-04-01,日出康城 1期 首都 琉森 (2座-左翼) 高层 D室,740万,705呎,"@$10,496",中原集团
2025-04-01,嘉湖山庄 2期 赏湖居 1座 高层 B室,520万,633呎,"@$8,215",中原集团
2025-04-01,富荣花园 3座 高层 J室,530万,484呎,"@$10,950",中原集团
2025-04-01,康怡花园 B座 (9-16室) 高层 14室,795万,668呎,"@$11,901",中原集团
2025-04-01,栢蕙苑 瑞柏阁 (2座) 中层 F室,680万,550呎,"@$12,364",中原集团
2025-04-01,浪澄湾 7座 低层 E室,875万,559呎,"@$15,653",中原集团
2025-04-01,东港城 8座 高层 G室,530万,463呎,"@$11,447",中原集团
2025-04-01,清水湾半岛 1期 1座 高层 A室,"1,030万","1,041呎","@$9,894",中原集团
2025-04-01,海名轩 2座 中层 A室,"3,645万","1,600呎","@$22,781",中原集团
2025-04-01,月海湾 1座 高层 B室,515万,412呎,"@$12,500",中原集团
2025-04-01,葵芳阁 1座 高层 E室,375万,397呎,"@$9,446",中原集团
2025-04-01,迎海 3期 迎海‧星湾御 23座 高层 G室,920万,564呎,"@$16,312",中原集团
2025-04-01,太和邨 亨和楼 (12座) 中层 4室,228万,234呎,"@$9,744",中原集团
2025-04-01,北角中心大厦 B座 低层 1室,690万,798呎,"@$8,647",中原集团
2025-04-01,新都城 1期 2座 低层 C室,530万,364呎,"@$14,560",中原集团
2025-04-01,采叶庭 1座 高层 F室,738万,658呎,"@$11,216",中原集团
2025-04-01,锦绣花园 松涛南路,872万,846呎,"@$10,307",中原集团
2025-04-01,雅仕阁 高层 45-47号,"1,300万",897呎,"@$14,493",中原集团
2025-04-01,碧霞花园 莱茵阁 (4座) 低层 B室,"1,013万","1,296呎","@$7,816",中原集团
2025-04-01,海怡半岛 3期 美晞阁 (18座) 高层 C室,778万,581呎,"@$13,391",中原集团
2025-04-01,叠茵庭 7座 高层 D室,403.8万,376呎,"@$10,739",中原集团
2025-04-01,天晋 II 1B座 低层 C室,"1,290万",826呎,"@$15,617",中原集团
2025-04-01,Capri 6座 中层 B室,"1,111万",764呎,"@$14,542",中原集团
2025-04-01,裕泰苑 A座 (裕玥阁) 中层 4室,160万,283呎,"@$5,654",中原集团
2025-04-01,溱岸8号 3座 中层 B室,"1,520万",934呎,"@$16,274",中原集团
2025-04-01,OMA OMA 2A座 高层 D室,390万,463呎,"@$8,423",中原集团
2025-04-01,新港城 4期 M座 高层 4室,810万,618呎,"@$13,107",中原集团
2025-04-01,嘉汇 9座 低层 A室,"2,030万",964呎,"@$21,058",中原集团
2025-04-01,尚柏 中层 A室,293万,301呎,"@$9,734",中原集团
2025-04-01,Grand Yoho 2期 8座 低层 C室,759.8万,534呎,"@$14,228",中原集团
