港島東,鰂魚涌,太成樓 6樓 B室,N/A,16/08/2024,-,$260 萬,312 呎,"$8,333",N/A
港島東,鰂魚涌,嘉亨灣 1座 68樓 C室,N/A,16/08/2024,2房,$995 萬,462 呎,"$21,537",露台 | | 工作平台
港島東,鰂魚涌,南豐新邨 11座 11樓 B室,N/A,16/08/2024,2房,$465 萬,391 呎,"$11,893",N/A
港島東,鰂魚涌,匯豪峰 低層 E室,N/A,16/08/2024,-,"$22,500",573 呎,$39,露台
港島東,鰂魚涌,華蘭花園 雅蘭閣 7樓 F室,N/A,15/08/2024,2房,$506 萬,382 呎,"$13,246",N/A
港島東,鰂魚涌,太古城 高山台 東山閣 28樓 B室,N/A,15/08/2024,3房,"$1,248 萬",797 呎,"$15,659",N/A
港島東,鰂魚涌,康怡花園 E座 中層 5室,N/A,15/08/2024,3房,"$21,500",596 呎,$36,N/A
港島東,鰂魚涌,康怡花園 J座 低層 14室,N/A,15/08/2024,3房,"$29,000",835 呎,$35,N/A
港島東,鰂魚涌,太古城 星輝台 銀星閣 21樓 B室,N/A,15/08/2024,3房,"$1,298 萬",809 呎,"$16,044",N/A
港島東,鰂魚涌,君豪峰 低層 K室,N/A,15/08/2024,1房,"$16,500",293 呎,$56,露台 | | 工作平台
港島東,鰂魚涌,太古城 海天花園 逸天閣 中層 G室,N/A,15/08/2024,3房,"$28,800",682 呎,$42,N/A
港島東,鰂魚涌,嘉榮大廈 8樓 H室,N/A,15/08/2024,-,$468 萬,382 呎,"$12,251",N/A
港島東,鰂魚涌,金海大廈 4樓 31室,N/A,14/08/2024,-,$720 萬,464 呎,"$15,517",N/A
港島東,鰂魚涌,太古城 海景花園(東) 美菊閣 低層 A室,N/A,14/08/2024,3房,"$38,000","1,114 呎",$34,N/A
港島東,鰂魚涌,太古城 高山台 恆山閣 22樓 C室,N/A,14/08/2024,3房,$900 萬,684 呎,"$13,158",N/A
港島東,鰂魚涌,太古城 星輝台 恆星閣 22樓 B室,N/A,14/08/2024,3房,"$1,080 萬",809 呎,"$13,350",N/A
港島東,鰂魚涌,得利樓 1樓 29室,N/A,13/08/2024,-,$258 萬,327 呎,"$7,890",N/A
港島東,鰂魚涌,太古城 星輝台 天星閣 高層 A室,N/A,13/08/2024,2房,"$26,500",580 呎,$46,N/A
港島東,鰂魚涌,鯉景灣 A段 觀峰閣 高層 B室,N/A,13/08/2024,3房,"$28,000",677 呎,$41,N/A
港島東,鰂魚涌,嘉亨灣 3座 高層 D室,N/A,13/08/2024,3房,"$52,000",942 呎,$55,N/A
港島東,鰂魚涌,太古城 安盛台 寶安閣 25樓 H室,N/A,13/08/2024,3房,$900 萬,706 呎,"$12,748",N/A
港島東,鰂魚涌,南豐新邨 12座 3樓 C室,N/A,13/08/2024,2房,$400 萬,391 呎,"$10,230",N/A
港島東,鰂魚涌,鯉景灣 D段 安明閣 2樓 G室,N/A,13/08/2024,3房,$745 萬,635 呎,"$11,732",N/A
港島東,鰂魚涌,南豐新邨 1座 30樓 G室,N/A,13/08/2024,2房,$495 萬,391 呎,"$12,660",N/A
港島東,鰂魚涌,惠利大廈 10樓 1室,N/A,13/08/2024,-,$300 萬,415 呎,"$7,229",N/A
港島東,鰂魚涌,太成樓 2樓 K室,N/A,12/08/2024,-,$260 萬,312 呎,"$8,333",N/A
港島東,鰂魚涌,太古城 海天花園 海天閣 14樓 D室,N/A,12/08/2024,3房,"$1,220 萬",759 呎,"$16,074",N/A
港島東,鰂魚涌,海景樓 14樓 16室,N/A,12/08/2024,-,$275 萬,371 呎,"$7,412",N/A
港島東,鰂魚涌,鯉景灣 A段 觀峰閣 高層 G室,N/A,11/08/2024,3房,"$28,000",672 呎,$42,N/A
港島東,鰂魚涌,康怡花園 D座 中層 3室,N/A,11/08/2024,2房,"$20,500",524 呎,$39,N/A
港島東,鰂魚涌,鯉景灣 A段 觀景閣 低層 F室,N/A,10/08/2024,2房,"$19,500",485 呎,$40,N/A
港島東,鰂魚涌,太古城 海天花園 景天閣 中層 G室,N/A,10/08/2024,2房,"$24,500",589 呎,$42,N/A
港島東,鰂魚涌,太古城 星輝台 衛星閣 低層 D室,N/A,10/08/2024,2房,"$20,000",502 呎,$40,N/A
港島東,鰂魚涌,太古城 星輝台 衛星閣 低層 D室,N/A,10/08/2024,2房,"$20,000",502 呎,$40,N/A
港島東,鰂魚涌,太古城 海天花園 富天閣 低層 D室,N/A,10/08/2024,3房,"$35,000",760 呎,$46,N/A
港島東,鰂魚涌,栢蕙苑 寧柏閣 31樓 B室,N/A,09/08/2024,3房,$985 萬,652 呎,"$15,107",N/A
港島東,鰂魚涌,華蘭花園 翠蘭閣 低層 F室,N/A,08/08/2024,2房,"$16,500",388 呎,$43,N/A
港島東,鰂魚涌,太古城 高山台 寶山閣 24樓 F室,N/A,08/08/2024,3房,$845 萬,691 呎,"$12,229",N/A
港島東,鰂魚涌,太古城 星輝台 海星閣 低層 H室,N/A,08/08/2024,2房,"$19,000",603 呎,$32,N/A
港島東,鰂魚涌,逸濤灣 一 ( 春瑤軒 ) 低層 C室,N/A,08/08/2024,3房,"$38,000",738 呎,$51,N/A
港島東,鰂魚涌,君豪峰 高層 B室,N/A,08/08/2024,1房,"$18,000",290 呎,$62,露台 | | 工作平台
港島東,鰂魚涌,逸樺園 1座 中層 C室,N/A,08/08/2024,2房,"$28,000",611 呎,$46,N/A
港島東,鰂魚涌,南豐新邨 08座 中層 C室,N/A,08/08/2024,2房,"$17,500",391 呎,$45,N/A
港島東,鰂魚涌,嘉亨灣 6座 低層 H室,N/A,08/08/2024,2房,"$24,000",492 呎,$49,N/A
港島東,鰂魚涌,南豐新邨 11座 15樓 C室,N/A,08/08/2024,2房,$472 萬,391 呎,"$12,072",N/A
港島東,鰂魚涌,康怡花園 M座 低層 4室,N/A,08/08/2024,3房,"$23,000",624 呎,$37,N/A
港島東,鰂魚涌,嘉亨灣 3座 中層 A室,N/A,07/08/2024,3房,"$56,500","1,129 呎",$50,N/A
港島東,鰂魚涌,得利樓 11樓 11室,N/A,07/08/2024,-,$280 萬,380 呎,"$7,368",N/A
港島東,鰂魚涌,得利樓 3樓 27室,N/A,07/08/2024,-,$300 萬,351 呎,"$8,547",N/A
港島東,鰂魚涌,太就樓 1樓 A室,N/A,06/08/2024,-,$290 萬,312 呎,"$9,295",N/A
港島東,鰂魚涌,南豐新邨 3座 1樓 C室,N/A,05/08/2024,2房,$400 萬,391 呎,"$10,230",N/A
